DESTINO;CTRC/GAI/PAL;T;AUTORIZACAO;PREV DE ENTREGA;NFISCAL;PEDIDO;SUBC;REMETENTE;PAGADOR;ABC;DESTINATARIO;CIDADE;UF;SET;MERCADORIA;FRETE;KgREA;M3;PESO CALCULO;SSWBAR;QVOL;COD ULT OCOR;DESC ULT OCOR;DATA ULT OCOR;PREVCHEGADA;MANIFESTO/END;CHAVE DACTE;COMISSAO RECEPCAO;TROCA GELO
TIT;GYN122222-8; N;02/07/2026;14/07/2026;139462;            ;     ;ACTIVE IND DE COSMETICOS SA;ACTIVE IND DE COSMETICOS SA;A1;LANGE COSMETICOS LTDA.;CESARIO LANGE;SP;CAM;45.000,00;3.094,38;3240;7,0092;3240;18;18;83;CHEGADA NA UNIDADE INTERMEDIARIA ;08/07/2026;;DK4000078-7;52260707655407000449570040000988121006486053 ;653,53;
TIT;GYN116131-8; N;07/05/2026;18/05/2026;107104;127333;     ;EMBAQUIM INDUSTRIA E COMERCIO ;ACTIVE IND DE COSMETICOS SA;A1;LANGE COSMETICOS LTDA.;CESARIO LANGE;SP;CAM;3.074,40;183,94;87,026;0;87,026;0;2;95;ATENDIMENTO/ INFORMACOES/ TRATATIVAS INTERNAS;26/06/2026;;GYN022353-1;52260507655407000449570040000959311005859573 ;45,32;
TIT;PSA115953-4; N;10/07/2026;20/07/2026;32996;333875;     ;GALZERANO IND DE CARRINHOS E B;GALZERANO IND DE CARRINHOS E B;..;SOROCABA ARTE ENXOVAIS LTDA;SOROCABA;SP;CAM;5.360,79;423,81;94,74;1,3029;390,87;0;13;83;CHEGADA NA UNIDADE INTERMEDIARIA ;11/07/2026;;PSA000098-1;35260707655407000287570020021024931006584768 ;101,71;
TIT;CBA016613-8; N;09/03/2026;17/03/2026;   105771*;            ;     ;REAL MOTO PECAS LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;ZF AUTOMOTIVE BRASIL LTDA;ITU;SP;CAM;461,14;152,1;6,422;0;6,422;0;2;34;ENTREGUE/ CTE RETIDO NO CLIENTE PARA CONFERENCIA;27/06/2026;;SAO077434-1;51260307655407000368570020000165121005212969 ;37,48;
TIT;SAO094918-3; N;08/06/2026;16/06/2026;44306;            ;     ;DINACO IMPORTACAO COMERCIO LTD;ACTIVE IND DE COSMETICOS SA;A1;LANGE COSMETICOS LTDA.;CESARIO LANGE;SP;CAM;7.338,41;261,49;239,8;0,3095;239,8;0;1;95;ATENDIMENTO/ INFORMACOES/ TRATATIVAS INTERNAS;27/06/2026;;SAO079800-2;35260607655407000287570020020804961006206025 ;55,23;
TIT;SAO095751-8; N;09/06/2026;17/06/2026;369626;            ;     ;IFF ESSENCIAS E FRAGRANCIAS LT;ACTIVE IND DE COSMETICOS SA;A1;LANGE COSMETICOS LTDA.;CESARIO LANGE;SP;CAM;8.200,00;195,59;52,1;0;52,1;0;1;95;ATENDIMENTO/ INFORMACOES/ TRATATIVAS INTERNAS;27/06/2026;;SAO079800-2;35260607655407000287570020020813331006221171 ;41,31;
TIT;SAO106091-1; N;24/06/2026;15/07/2026;   138664*;            ;     ;SENTEC ESSENCIAS E FRAGACIAS L;ACTIVE IND DE COSMETICOS SA;A1;LANGE COSMETICOS LTDA.;CESARIO LANGE;SP;CAM;36.480,69;396,09;313,6;0,3751;313,6;0;7;15;ENTREGA AGENDADA PELO CLIENTE;07/07/2026;;SAO080361-8;35260607655407000287570020020923451006400423 ;83,65;
TIT;SAO106283-2; N;24/06/2026;15/07/2026;   109194*;128823;     ;EMBAQUIM INDUSTRIA E COMERCIO ;ACTIVE IND DE COSMETICOS SA;A1;LANGE COSMETICOS LTDA.;CESARIO LANGE;SP;CAM;11.360,00;250,94;217,566;0;217,566;0;5;15;ENTREGA AGENDADA PELO CLIENTE;07/07/2026;;SAO080361-8;35260607655407000287570020020924931006402860 ;53;
TIT;SAO109008-9; N;30/06/2026;15/07/2026;   371145*;            ;     ;IFF ESSENCIAS E FRAGRANCIAS LT;ACTIVE IND DE COSMETICOS SA;A1;LANGE COSMETICOS LTDA.;CESARIO LANGE;SP;CAM;132.551,50;947,85;679,9;0,9208;679,9;10;10;15;ENTREGA AGENDADA PELO CLIENTE;07/07/2026;;SAO080408-8;35260607655407000287570020020953981006454474 ;200,19;
TIT;SAO112033-6; N;03/07/2026;14/07/2026;551910;            ;     ;UNIVAR SOLUTIONS BRASIL LTDA;ACTIVE IND DE COSMETICOS SA;A1;LANGE COSMETICOS LTDA.;CESARIO LANGE;SP;CAM;20.302,06;455,85;419,2;1,272;419,2;2;2;83;CHEGADA NA UNIDADE INTERMEDIARIA ;07/07/2026;;SAO080565-3;35260707655407000287570020020987701006518020 ;96,28;
TIT;JDF033267-4; N;06/07/2026;14/07/2026;132297;            ;     ;COMPANHIA MANUFATORA DE TECIDO;COMPANHIA MANUFATORA DE TECIDO;B.;HIGIBRAS COSMETICA DO BRASIL L;SAO ROQUE;SP;CAM;5.952,00;408,32;164;1;250;0;20;83;CHEGADA NA UNIDADE INTERMEDIARIA ;10/07/2026;;SAO080653-6;31260707655407001097570100000551901006535717 ;98;
TIT;SAO115159-2; N;08/07/2026;16/07/2026;   109479*;129512;     ;EMBAQUIM INDUSTRIA E COMERCIO ;ACTIVE IND DE COSMETICOS SA;A1;LANGE COSMETICOS LTDA.;CESARIO LANGE;SP;CAM;11.360,00;323,93;217,566;1,2;300;0;5;83;CHEGADA NA UNIDADE INTERMEDIARIA ;10/07/2026;;SAO080653-6;35260707655407000287570020021017131006572787 ;68,41;
TIT;CAM414603-4; N;02/07/2026;15/07/2026;105398;4505938889;     ;VIDARA DO BRASIL LTDA.;ACTIVE IND DE COSMETICOS SA;A1;LANGE COSMETICOS LTDA.;CESARIO LANGE;SP;CAM;11.500,00;1.127,44;1044;3,48;1044;0;4;15;ENTREGA AGENDADA PELO CLIENTE;07/07/2026;;;35260707655407000520570030004528591006493451 ;238,12;
TIT;CAS009198-7; N;19/06/2026;31/12/2050;190626;            ;FCA  ;EXPRESSO RIO VERMELHO TRANSPOR;EXPRESSO RIO VERMELHO TRANSPOR;..;FRASLE MOBILITY SOROCABA LTDA;SOROCABA;SP;CAM;1;0,01;300;0;300;0;1;80;CTRC EMITIDO;19/06/2026;;; ;0;
TIT;CAS009239-8; N;30/06/2026;31/12/2050;1363239;            ;FCA  ;EXPRESSO RIO VERMELHO TRANSPOR;EXPRESSO RIO VERMELHO TRANSPOR;..;RICA TRANSPORTES;TIETE;SP;CAM;0,01;0,01;500;0;500;0;1;80;CTRC EMITIDO;30/06/2026;;; ;0;
TIT;CAS009262-2; N;07/07/2026;31/12/2050;810799;            ;FCA  ;EXPRESSO RIO VERMELHO TRANSPOR;EXPRESSO RIO VERMELHO TRANSPOR;..;ZF AUTOMOTIVE BRASIL LTDA;ITU;SP;CAM;0,01;0,01;0,755;0;0,755;0;1;80;CTRC EMITIDO;07/07/2026;;; ;0;
TNE;CAC016994-3; N;06/05/2026;21/05/2026;419231;            ;     ;L PINHAL E CIA LTDA;PPG IND DO BRASIL TINTAS E VER;A1;PPG IND DO BRASIL TINTAS E VER;GRAVATAI;RS;SAO;128,15;210;19,94;0;19,94;0;1;4;DESTINATARIO RETIRA;20/05/2026;;DK4000034-5;51260507655407000368570020000168921005842436 ;0;
UDI;GYN118264-1; D;26/05/2026;05/06/2026;498369;            ;     ;ADRIANA SOGARI;FRIGELAR COMERCIO E INDUSTRIA;A1;FRIGELAR COMERCIO E INDUSTRIA;EXTREMA;MG;SAO;2.069,18;122,23;37,75;0,2325;69,75;0;1;95;ATENDIMENTO/ INFORMACOES/ TRATATIVAS INTERNAS;08/07/2026;;DK4000042-6;52260507655407000449570040000969101006072237 ;0;
UDI;GYN121624-4; D;25/06/2026;06/07/2026;739629;            ;     ;SUENNE MARTINS PONTES;FRIGELAR COMERCIO E INDUSTRIA;A1;FRIGELAR COMERCIO E INDUSTRIA;EXTREMA;MG;SAO;2.221,49;212,33;41,5;0,2642;79,26;2;2;83;CHEGADA NA UNIDADE INTERMEDIARIA ;07/07/2026;;DK4000076-1;52260607655407000449570040000985571006409832 ;0;
UDI;GYN122139-6; D;01/07/2026;10/07/2026;510631;            ;     ;GUINAMASTE@GMAIL.COM;FRIGELAR COMERCIO E INDUSTRIA;A1;FRIGELAR COMERCIO E INDUSTRIA;EXTREMA;MG;SAO;3.453,44;182,55;23,69;0,2807;84,21;1;2;50;FALTA DE MERCADORIA;08/07/2026;;DK4000076-1;52260707655407000449570040000987601006473913 ;0;
UDI;SJP115811-2; N;10/07/2026;20/07/2026;400;            ;     ;BRINQUE MAIS DISTRIBUIDORA DE;BRINQUE MAIS DISTRIBUIDORA DE;C.;DROGA MAIS FARMACEUTICA LTDA;MONTE CARMELO;MG;MTC;1.041,60;205,09;10;0;10;0;2;83;CHEGADA NA UNIDADE INTERMEDIARIA ;11/07/2026;;RAO001348-0;35260707655407000287570020021023881006583260 ;0;
VIX;RO2011952-1; D;21/05/2026;28/05/2026;1530999;            ;     ;LOUIS DREYFUS COMMODITIES BRAS;NORTEL SUPRIMENTOS INDUSTRIAIS;A1;NORTEL SUPRIMENTOS INDUSTRIAIS;SERRA;ES;291;130,84;82,05;0,48;0;0,48;0;1;83;CHEGADA NA UNIDADE INTERMEDIARIA ;05/06/2026;;DK4000042-6;51260507655407000872570060000117531006011026 ;0;
VIX;CGD033352-2; N;26/05/2026;02/06/2026;1490492;            ;     ;MSFC FLORESTAL LTDA;NORTEL SUPRIMENTOS INDUSTRIAIS;A1;NORTEL SUPRIMENTOS INDUSTRIAIS;SERRA;ES;291;412,91;73,32;0,18;0;0,18;0;2;83;CHEGADA NA UNIDADE INTERMEDIARIA ;09/06/2026;;DK4000046-9;50260507655407000600570010000329161006070795 ;0;
VIX;GYN121068-8; D;19/06/2026;26/06/2026;1569407;            ;     ;NESTLE NORDESTE ALIMENTOS E BE;NORTEL SUPRIMENTOS INDUSTRIAIS;A1;NORTEL SUPRIMENTOS INDUSTRIAIS;SERRA;ES;291;69,52;68,73;0,64;0;0,64;0;1;83;CHEGADA NA UNIDADE INTERMEDIARIA ;25/06/2026;;DK4000067-1;52260607655407000449570040000982851006354165 ;0;
VIX;PVA011549-5; D;30/12/2025;09/01/2026;1447675;            ;     ;MONSANTO DO BRASIL LTDA;NORTEL SUPRIMENTOS INDUSTRIAIS;A1;NORTEL SUPRIMENTOS INDUSTRIAIS;SERRA;ES;291;8,05;98,99;0,35;0;0,35;0;1;95;ATENDIMENTO/ INFORMACOES/ TRATATIVAS INTERNAS;21/01/2026;;SAO075825-6;51251207655407000872570060000113581004604261 ;0;
VIX;PVA011550-9; D;30/12/2025;09/01/2026;1448428;            ;     ;MONSANTO DO BRASIL LTDA;NORTEL SUPRIMENTOS INDUSTRIAIS;A1;NORTEL SUPRIMENTOS INDUSTRIAIS;SERRA;ES;291;239,2;101,17;2,91;0;2,91;0;9;95;ATENDIMENTO/ INFORMACOES/ TRATATIVAS INTERNAS;21/01/2026;;SAO075825-6;51251207655407000872570060000113591004604323 ;0;
VIX;TGA000782-0; D;01/07/2026;08/07/2026;20250;            ;     ;JBS S.A;NORTEL SUPRIMENTOS INDUSTRIAIS;A1;NORTEL SUPRIMENTOS INDUSTRIAIS;SERRA;ES;291;1;630,95;30;1;300;0;1;83;CHEGADA NA UNIDADE INTERMEDIARIA ;01/07/2026;;TGA000564-9;51260707655407001500570150000007601006476823 ;0;
